Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Lagavulin 12 year old,"There’s precious little reticence about this beast, which leaps out of the glass blowing peat smoke everywhere — then comes raffia, Lapsang Souchong tea, seashore, wet rocks, Elastoplast, talcum powder, bog myrtle (laurel), vetiver, and the aromas of a just-expunged peat bonfire with apples baking on it. Huge and complex, in other words. The palate starts with a fug of smoke being belched at you (non-peat freaks look away, now) then distinct saltiness enlivens the tongue before everything plunges down; intense sweetness takes charge for a moment before it shifts into charred creosoted timbers. This begs for some water, and when it’s added, out comes sandalwood and peat smoke and tar and an orris root-like character — it’s not often I get gin-like notes on Lagavulin, but it’s here — which rolls over you as you roll over and succumb to its power. After this year’s sublime distillery-only bottling, it’s clear that Lagavulin is in a real purple patch. Superb.",94 points,Single Malt Scotch  , Dave Broom ,  $109,Spring 2011,56.5%
Lagavulin 12 year old (Diageo Special Releases 2017),"This is the 15th Special Releases bottling of Lagavulin 12 year old. Matured in refill American oak hogsheads. The nose is smoky, with kippers, charcuterie, and bonfire embers, offset by berry fruits. On the unctuous palate, smoke blends with vanilla, green apples, and licorice, plus pepper and sea salt. Peppery, ashy peat in the lengthy finish. (Individual reviewer rating: 91)",94 points,Single Malt Scotch  , Gavin Smith ,  $130,Winter 2017,56.5%
Lagavulin 12 year old (Diageo Special Releases 2017),"Conventional wisdom suggests that Lagavulin is at its peak at 16 years of age. However, this superlative 12 year old confirms why many consumers like their Lagavulin younger. This is Lagavulin at its very best: bold, yet complex and satisfying; full of character, with smoky, savory, maritime, sweet vanilla, and fruit notes all merging into a balanced and eminently drinkable whole. It takes a few drops of water well, releasing burnt grass aromas and more palate sweetness. The Diageo Special Releases are not known to be bargains, but this Lagavulin is sensibly priced, and the greatest all-around value from the 2017 lineup. Number 4 in the 2017 Top 20 ",94 points,Single Malt Scotch  , Gavin Smith ,  $130,Winter 2017,56.5%
Laphroaig Triple Wood,"This is the first time I’ve been up for reviews here so I had a game plan: play it cool, mark tightly, let everyone know I’m hard to please. Then they gave me this, the whisky equivalent to front row tickets to Neil Young on his current Twisted Road tour: not just a chance to get up close and personal with an old favorite, but to do so with an old favorite who’s on fire. Laphroaig’s owners are intent on ensuring a big peaty engine for any new release, but this is a monster by anyone’s standards. It’s essentially Quarter Cask finished in oloroso sherry casks, so in addition to the intense charcoal smoke attack there are rich fruity notes; blackcurrant and berries. It’s an evening barbecue whisky. Grill that fish until it’s blackened and crispy, drizzle on lemon, and as the smoke rears up in protest, sip this. Big, moody, broody, fruity, and rich: what’s not to love? (Travel Retail and some European specialist retailers)",94 points,Single Malt Scotch  , Dominic Roskrow ,  $100,Fall 2010,48%
Loch Lomond 2002 Kerr Cellars Red Wine Cask-Finished,"Delicately aromatic and tropical on the nose, with piña colada, pistachio pudding, almond halva, coconut, and apple blossom. The palate is elegant and pretty, nuanced with pistachio, almond, vanilla malted milkshake, coconut, and pineapple, before sweeping oak and tobacco roll into a gorgeous tropical fruit and toasted coconut finish. A masterwork in balancing spirit character with finishing cask.",94 points,Single Malt Scotch  , Susannah Skiver Barton ,  $200,Fall 2019,48.1%
The Macallan 17 year old Fine Oak,"Another of the Fine Oak series (aged in both bourbon and sherry casks), which will debut in the U.S. in March. Of the five Fine Oak expressions that will be in the U.S. (10, 15, 17, 21, and 30 year old), this is my favorite, slightly besting the 15 year old. Lovely sweet notes (creamy vanilla, light toffee, marshmallow, shortbread, and a kiss of honey) are accompanied by bright fruit (multi-layered citrus) and potpourri of dried spices, along with a hint of nut and wisp of smoke. A very refined and sophisticated whisky.",94 points,Single Malt Scotch  , John Hansell ,  $120,Spring 2006,43%
The Macallan 1824 Limited Release,"Antique amber. The darkest and most decadent of the four. Quite viscous and soothing, with well-layered notes of apple pie, marmalade, and maple syrup balanced by dried fruits, ginger, polished leather, tobacco, and resinous oak. One to sip and savor very slowly. (This whisky is much better than the last ultra-premium release, the Macallan 55 year old in the Lalique Decanter, and thousands of dollars less.)",94 points,Single Malt Scotch  , John Hansell ,"  $1,900",Summer 2009,48%
Scotch Malt Whisky Society Hunting Hound on Holiday 4.180 24 year old 1989,"From the nose you can tell this is a special whisky, with old, dark, lacquered wood, dusty cigar box, and sea salt combined with dark sweet cherry and a hint of rancio. On the palate it gets even better, with lush, dark cherry perfectly balanced and integrated with oak spice, salt, and peat smoke. There’s clear rancio in the center of it all that's utterly delicious. This stunner finishes with a long, slightly spicy, and entirely lovely finish. (Park Avenue Liquor only)",94 points,Single Malt Scotch  , Geoffrey Kleinman ,  $225,Winter 2014,51.3%
Black Snake Vat 6 Third Venom,"A beguiling nose of raisins, dried figs, hazelnuts, white chocolate, brown sugar, and candied ginger, with a rich meatiness that calls to mind braised pork with stewed plums. The palate sings with classic sherry flavors: figs, almonds, hazelnuts, dark chocolate, white pepper, orange peel, and a lithe minerality. As might be expected given the ABV, water may be added with impunity. From an undisclosed Highland distillery, matured in a modified solera system and finished in a PX cask. (464 bottles; U.S. only)",93 points,Single Malt Scotch  , Susannah Skiver Barton ,  $100,Summer 2018,60.2%
Ardbeg An Oa,"Ardbeg's first standard release in nearly a decade, An Oa is matured in virgin oak, Pedro Ximénez, and bourbon barrels, with component whiskies married in the distillery's French oak 'Gathering Vat.' The nose offers sweet peat, smoky lemon rind, ginger, and angelica. A soft and sweet palate entry is followed by hot peat, black tea, peppery cloves, and aniseed. Black pepper lingers through the long, smoky finish.",93 points,Single Malt Scotch  , Gavin Smith ,  $60,Winter 2017,46.6%
Ardbeg An Oa,"Ardbeg doles out occasional limited releases for their avid fans, but for nearly a decade the core range consisted of just three whiskies: 10 year old, Uigeadail, and Corryvreckan. The addition of An Oa, matured in a combination of virgin oak, Pedro Ximénez sherry, and bourbon barrels, and married in a French oak ‘gathering vat’ prior to bottling, marks a reason to celebrate. An Oa is a more approachable Ardbeg. It lacks some of the typical oiliness, but flavor and complexity abound with hot peat, black tea, and peppery cloves. Die-hard Ardbeg fans should have no complaints, and new converts have a real treat in store. Number 6 in the 2017 Top 20 ",93 points,Single Malt Scotch  , Gavin Smith ,  $60,Winter 2017,46.6%
The Balvenie 1974 vintage (Cask #17893),"The newest offering from the impressive Balvenie vintage cask line. Honey, caramel custard, and Seville orange notes, with evolving -- and increasingly noticeable -- dried spice, oak resin, and leather that integrates well with the sweet, fruity notes. Incredible depth and complexity. The Balvenie vintage reputation remains intact.",93 points,Single Malt Scotch  , John Hansell ,  $600,Winter 2007,52.8%
The Balvenie 30 year old 1973 Vintage (Cask #9219),"The last Balvenie Vintage whisky I tasted that was this old was the exceptional 1966 Vintage. This new vintage has some big shoes (or should I say bottles?) to fill, so how does it stand up to the 1966 Vintage? This 1973 Vintage is equally as impressive. In contrast to the massive, evolving, sherry-influenced 30 year old reviewed below, this one shows more subtlety and finesse. It is also a very clean and polished affair-signs of an obviously excellent cask. A honeyed, malty foundation incorporates notes of dried fruit (orange, lemon), complex spice (vanilla, cinnamon, sandalwood), and subtle herbs. Very contemplative.",93 points,Single Malt Scotch  , John Hansell ,  $400,Summer 2005
The Balvenie 25 year old,"Deep amber color. Exotic aromas of honey, vanilla, and tropical fruit (coconut, pineapple, mango). Medium to full in body, and rich in texture. The palate delivers what the aroma promises-honey, vanilla, and more tropical fruit, with a somewhat dry and rather lengthy finish. The Balvenie distillery enjoys an excellent reputation. The older expressions are particularly noteworthy. They age very gracefully. This one is a pure joy to drink.",93 points,Single Malt Scotch  , John Hansell ,  $250,Summer 2005,46.9%
The Balvenie 1961 55 year old,"Aged in a European oak oloroso sherry hogshead. Orange marmalade and lanolin on the nose, with caramel and candle wax dripped onto old leather. Full-bodied, with slightly bitter orange notes, plus nutmeg and aniseed on the palate. The orange theme persists into the finish as dried-out Jaffa segments, plus edgy oak tannins. A highly individualistic Balvenie.",93 points,Single Malt Scotch  , Gavin Smith ,"  $60,000/set",Spring 2018,41.7%
Balvenie 26 year old A Day of Dark Barley,"This bottling from 1992 was distilled partly from dark-roasted chocolate malt. Classic Balvenie honey and fruit spices on the nose, with light oiliness, ginger, and orange blossom. Rich flavors of canned pears and pineapple in syrup on the palate, with hot chocolate and wood spices. Marzipan, dark chocolate, and black pepper in the long finish. A delightfully different Balvenie. (150 bottles)",93 points,Single Malt Scotch  , Gavin Smith ,  $800,Fall 2019,47.8%
Bowmore 16 year old 1989 vintage,"No frills here, just pure, unadulterated Bowmore. This Islay whisky speaks of its location in a very pure and natural way. I find invigorating brine, seaweed, green olive, and fishnets, along with the classic Bowmore peat smoke. All these flavors are softened by gentle vanilla and honeyed malt, while background tropical fruit add complexity.",93 points,Single Malt Scotch  , John Hansell ,  $90,Spring 2006,51.8%
The Whisky Exchange Masterpieces Range 18 year old 1990 vintage (distilled at Bowmore),"Bowmore lovers rarely get excited about the smokiness of their favorite single malt. Rather, they obsess about the tropical fruits that some old bottlings exhibit. Here is one such example. Initially the nose suggests verjus and linseed oil, but then peachiness rather than beachiness emerges. The smoke hits first on the tongue, backed up with mango and violet, then the tropical elements and the smoke play off each other up until a guava-laden finish.",93 points,Single Malt Scotch  , Dave Broom ,  $191.,Spring 2012,61.6%
